"id","name","latitude","longitude","property_type","room_type","price","accommodates","bedrooms","beds","bathrooms","shared_bathroom","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","Kitchen","Wifi","Air_conditioning","Elevator","Dishes_and_silverware","Washer","Body_soap","Microwave","Paid_parking_off_premises","total_amenities","short_term_availability","long_term_availability","years","host_id","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_identity_verified"
37998126,"Luminoso depto de 53 m2 con vistas al Congreso",-34.60915,-58.38738,"Entire rental unit","Entire home/apt",7248,2,1,1,1,"No",5,1125,8,4.88,4.88,5,5,4.88,5,4.88,"FALSE","1","1","1","1","1","1","0","1","0",7,"1","1",4.5972602739726,218117380,"within a day",1,0.83,"FALSE","TRUE"
38517386,"Luminoso y amplio departamento en Congreso",-34.61057,-58.38921,"Entire rental unit","Entire home/apt",5177,4,1,1,1,"No",4,1125,13,4.69,4.77,4.54,4.92,4.85,4.85,4.85,"FALSE","1","1","1","1","1","1","0","1","0",7,"0","1",6.69041095890411,92142477,"within a few hours",1,0.88,"FALSE","TRUE"
38346903,"Luminoso departamento - Céntrico -Congreso",-34.60996,-58.38825,"Entire rental unit","Entire home/apt",7426,4,1,3,1,"No",2,1125,12,5,4.92,5,5,5,5,5,"TRUE","1","1","1","1","1","0","1","1","0",7,"1","1",3.66849315068493,291810426,"within an hour",1,1,"FALSE","TRUE"
39354797,"ECONOMICA c/cowork/terraza/parrilla/laundry,Z/UADE",-34.61731,-58.3803,"Private room in rental unit","Private room",3106,1,1,1,1.5,"Yes",18,1125,8,4.5,5,4.5,4.5,4.75,5,4.75,"TRUE","1","1","0","1","1","1","0","1","1",7,"0","1",10.4630136986301,4191868,"within an hour",1,0.99,"FALSE","TRUE"
39391786,"Bello departamento en el barrio más bello",-34.61585,-58.37588,"Entire rental unit","Entire home/apt",17072,5,2,4,2,"No",8,1125,15,5,4.93,4.93,5,5,5,5,"FALSE","1","0","0","0","1","0","0","1","1",4,"1","0",9.46027397260274,10151015,"within an hour",1,1,"TRUE","TRUE"
39467727,"my spot - historical center",-34.61036,-58.38413,"Entire rental unit","Entire home/apt",7426,4,1,3,1,"No",3,20,56,4.98,4.93,4.95,4.98,5,4.86,4.95,"FALSE","1","1","1","1","1","1","0","1","1",8,"0","0",7.67123287671233,43345833,"within an hour",1,1,"TRUE","TRUE"
39510008,"Bright roof-top right in city center",-34.61034,-58.38021,"Entire rental unit","Entire home/apt",8283,6,1,6,1,"No",5,1125,13,4.46,4.46,4.62,4.77,4.85,4.85,4.54,"FALSE","1","1","1","1","1","0","0","1","1",7,"1","1",5.67397260273973,148806781,"within a few hours",1,0.87,"FALSE","TRUE"
39717789,"Apartamento em bairro histórico de Buenos Aires",-34.61209,-58.38585,"Entire rental unit","Entire home/apt",13282,3,2,1,1,"No",2,1125,25,4.96,4.96,4.96,5,4.96,4.88,4.96,"FALSE","1","0","1","1","1","0","1","1","0",6,"1","0",10.0465753424658,6016859,"within a few hours",1,0.82,"TRUE","TRUE"
39547331,"Luminosa, con amigos, cowork y parrilla, z/UADE!",-34.61741,-58.38053,"Private room in rental unit","Private room",3313,2,4,1,1,"Yes",12,1125,2,5,5,5,5,5,5,5,"TRUE","1","1","0","1","0","1","0","0","0",4,"0","1",10.4630136986301,4191868,"within an hour",1,0.99,"FALSE","TRUE"
39732160,"Hermoso apartamento antiguo en San Telmo",-34.61313,-58.37682,"Entire rental unit","Entire home/apt",11803,4,2,3,1,"No",7,1125,13,4.85,5,4.77,5,4.85,5,4.77,"FALSE","1","1","1","1","1","1","0","1","1",8,"0","1",7.43835616438356,50033552,"within an hour",1,1,"TRUE","TRUE"
39887466,"Plaza Apart",-34.61021,-58.37351,"Entire rental unit","Entire home/apt",10354,4,2,3,1,"No",2,1125,91,4.78,4.86,4.82,4.8,4.86,4.87,4.81,"FALSE","1","1","1","1","1","0","1","1","0",7,"0","1",8.84657534246575,17571930,"within an hour",1,0.99,"TRUE","TRUE"
39970435,"Large, modern Loft in San Telmo.",-34.61712,-58.3792,"Entire loft","Entire home/apt",8579,2,1,2,2,"No",3,1125,15,5,5,4.6,5,5,5,4.93,"TRUE","1","1","1","1","1","0","0","1","0",6,"1","0",6.48493150684931,103251096,"within an hour",1,1,"TRUE","TRUE"
40222518,"Luminosa y moderna habitación privada | San Telmo!",-34.61721,-58.38043,"Private room in rental unit","Private room",3313,1,4,1,1,"Yes",14,180,3,4.67,3.67,3.67,5,5,5,4.67,"TRUE","1","1","0","1","0","1","0","0","0",4,"0","1",10.4630136986301,4191868,"within an hour",1,0.99,"FALSE","TRUE"
40238641,"Studio a Nuevo! Centro de BA c/solarium y parrilla",-34.61302,-58.3796,"Entire rental unit","Entire home/apt",6212,2,1,1,1,"No",4,1125,48,4.94,4.85,4.73,4.94,5,4.85,4.81,"FALSE","1","1","0","1","1","0","0","1","0",5,"0","1",6.65479452054795,94350422,"within an hour",0.96,1,"TRUE","TRUE"
40248804,"15m2 |Muy grande con cowork y balcón en el centro!",-34.61753,-58.37897,"Private room in rental unit","Private room",3313,2,1,1,1,"Yes",15,1125,5,4.8,4.6,4.6,4.6,5,4.8,4.8,"FALSE","1","1","0","1","1","1","0","0","0",5,"0","0",10.4630136986301,4191868,"within an hour",1,0.99,"FALSE","TRUE"
40260207,"Gran Apartamento cerca de San Telmo/Puerto Madero",-34.6112,-58.37164,"Entire rental unit","Entire home/apt",4792,3,1,1,1,"No",9,30,62,4.71,4.79,4.76,4.84,4.79,4.87,4.79,"FALSE","1","1","1","1","1","0","0","0","1",6,"0","0",10.7671232876712,3114972,"within a few hours",1,1,"FALSE","TRUE"
40621842,"ESPACIO NATURAL EN EL CORAZON DE LA CIUDAD",-34.61736,-58.38932,"Entire loft","Entire home/apt",262857,4,1,3,1,"No",2,1125,14,5,5,4.93,5,4.93,5,5,"FALSE","1","1","1","0","1","0","0","1","1",6,"0","0",3.43287671232877,313176285,"within an hour",1,0.67,"FALSE","FALSE"
40717850,"Armonia 2023",-34.611366,-58.372429,"Entire loft","Entire home/apt",6123,4,1,2,1,"No",1,26,44,4.75,4.84,4.41,4.91,4.84,4.93,4.77,"TRUE","1","0","1","1","1","0","1","1","0",6,"1","1",3.4027397260274,316063353,"within an hour",1,1,"TRUE","TRUE"
40890382,"TU 🏠 EN  SAN TELMO! AMPLIO Y LUMINOSO.",-34.61111,-58.37595,"Entire rental unit","Entire home/apt",10768,5,2,5,1,"No",5,180,23,4.35,4.57,4.09,4.78,4.87,4.96,4.3,"FALSE","1","1","1","1","1","1","0","1","1",8,"1","1",10.2794520547945,4843078,"within an hour",1,1,"FALSE","TRUE"
